old_table_name,new_table_name
Authority_Approvals_Tracking,authority_approvals_tracking
key_achievments_plan,key_achievments
Master_Consultant,master_consultant
Master_Contract_Type,master_contract_type
Master_Contractor,master_contractor
Master_Control_Manager,master_control_manager
Master_Design_Project_Manager,master_design_manager
Master_Design_Project_Owner,master_design_executive_director
Master_Director,master_director
Master_Entity_Category,master_entity_category
Master_Executive_Director,master_executive_director
Master_KPI,master_kpi
Master_Location,master_location
Master_Mitigation_Recovery_Plan,master_mitigation_recovery_plan
Master_Next_Steps_To_Advance_Progress,master_next_steps_to_advance_progress
Master_Non_Recoverable_Delay_Justification,master_non_recoverable_delay_justification
Master_Owning_Entity,master_owning_entity
Master_Period,master_period
Master_PMC_Consultant,master_pmc_consultant
Master_Portfolio_Manager,master_portfolio_manager
Master_Pricing_Type,master_pricing_type
Master_Procurement_Manager,master_procurement_manager
Master_project_classification,master_project_classification
Master_Project_Name,master_project_name
Master_Project_Phase,master_project_phase
Master_Project_Phase_Category,master_project_phase_category
Master_Project_Stage_Status,master_project_stage_status
Master_Project_Status,master_project_status
Master_Project_Sub_Stage,master_project_sub_stage
Master_Rating,master_rating
Master_Reason_For_Delay,master_reason_for_delay
Master_Risk_Category,master_risk_category
Master_Risk_Discipline,master_risk_discipline
Master_Risk_Owner,master_risk_owner
Master_Sub_Location,master_sub_location
Master_SVP,master_delivery_project_manager
Master_Typology,master_typology
project_stage_weightage,project_status_weightage
SPA,project_milestone
Sessions,sessions
Project_Summary,project_summary

